"cell","n","K","p_det","method","n_ok","bias","mc_se","coverage"
"n = 250",250,3,0.3,"simplified.laplace",200,0.023526400010748,0.013877951159276,0.975
"n = 500",500,3,0.3,"simplified.laplace",200,-0.0088505449987164,0.00924856983951594,0.965
"n = 1000",1000,3,0.3,"simplified.laplace",200,0.00562696568929599,0.00721558160518542,0.95
"n = 2000",2000,3,0.3,"simplified.laplace",200,-0.00238408297200443,0.00482490818187017,0.96
"n = 5000",5000,3,0.3,"simplified.laplace",200,-0.00861835044952108,0.00311208358002191,0.94
"p = 0.15",1000,3,0.15,"simplified.laplace",200,-0.00839354108296853,0.00881880563884699,0.975
"p = 0.30",1000,3,0.3,"simplified.laplace",200,0.00562696534403695,0.00721558157419887,0.95
"p = 0.60",1000,3,0.6,"simplified.laplace",200,0.00507840095353684,0.00562274087297195,0.93
"p = 0.90",1000,3,0.9,"simplified.laplace",200,0.00749183439577561,0.00524718580250054,0.935
"p = 1.00 (INLA)",1000,3,1,"simplified.laplace",200,0.00782038592579903,0.00526231994945671,0.935
"p = 1.00 (glm)",1000,3,1,"glm",200,0.00947602676431203,0.00529148039353033,0.935
"K = 2",1000,2,0.3,"simplified.laplace",200,0.000899278468995512,0.00828835961513224,0.945
"K = 3",1000,3,0.3,"simplified.laplace",200,0.00562696531425,0.00721558155254421,0.95
"K = 5",1000,5,0.3,"simplified.laplace",200,0.00965869403481912,0.00625383372950862,0.955
"K = 10",1000,10,0.3,"simplified.laplace",0,NA,NA,NA
"strategy: gaussian",1000,3,0.3,"gaussian",200,0.00562696134623897,0.00721558119393177,0.95
"strategy: simplified.laplace",1000,3,0.3,"simplified.laplace",200,0.00562696534239737,0.00721558161756342,0.95
"strategy: laplace",1000,3,0.3,"laplace",200,0.00562696518484229,0.00721558158289832,0.95
