"species","n","naive","d_log","d_brier"
"NAWA",3084,0.0233463035019455,-0.0348166571515342,0.00207237010740881
"AMRE",3084,0.0295071335927367,-0.0267540042442638,0.00262753924040016
"CAWA",3084,0.0690661478599222,-0.0668058645301839,0.00845059410929563
"BAWW",3084,0.0856031128404669,-0.0532296227412448,0.00209882196009295
"BLPW",3084,0.0963035019455253,-0.201911460578776,0.0482526579187614
"MAWA",3084,0.182879377431907,-0.217596796008267,0.0656256820200326
"BHVI",3084,0.220168612191958,-0.109732894329855,0.00765691147781283
"REVI",3084,0.608625162127108,-0.134300958686287,0.0583363152206063
"OVEN",3084,0.632619974059663,-0.137695153959347,0.0571041627168975
"BLBW",3084,0.639105058365759,-0.0388215825684807,0.0179151205383688
"BTBW",3084,0.720817120622568,-0.0834267652006385,0.0281796793245328
"BTNW",3084,0.73313878080415,-0.0157152797145811,0.00641503718056716
