"model","species","d_log","d_brier"
"M1","AMRE",-0.0266268819404411,0.00262303891609525
"M2","AMRE",-0.0214197755270735,0.00234282822913884
"M3","AMRE",-0.0140808463248834,0.00239305603210427
"M1","BAWW",-0.0533034844413724,0.0021177003920785
"M2","BAWW",-0.0527290781331589,0.00190878806692787
"M3","BAWW",-0.0142382818600545,0.00211600006571676
"M1","BHVI",-0.109560494910035,0.00765801687253281
"M2","BHVI",-0.111447806918828,0.00756237682615144
"M3","BHVI",-0.0213623750868027,0.00848353812090019
"M1","BLBW",-0.0388769585101707,0.0179591117248688
"M2","BLBW",-0.00932323058566908,0.00433464493709198
"M3","BLBW",-0.0137989792011738,0.00484524696410149
"M1","BLPW",-0.201750815765149,0.0482508491895914
"M2","BLPW",-0.0118213150200082,0.00362500946297208
"M3","BLPW",-0.0142287105542263,0.00467216084299295
"M1","BTBW",-0.0836715551491903,0.0282296977349609
"M2","BTBW",-0.0226302903334206,0.00334001097943431
"M3","BTBW",-0.00874558889703182,0.00165875715872545
"M1","BTNW",-0.0157012968425937,0.00639589199681223
"M2","BTNW",-0.0134885555594603,0.00571491071731935
"M3","BTNW",-0.0121047001262296,0.00470123580236691
"M1","CAWA",-0.0667584601650788,0.00845423394169301
"M2","CAWA",-0.0367182528717128,0.00491873551495734
"M3","CAWA",-0.0248657626846599,0.00521728050242841
"M1","MAWA",-0.217657228453937,0.0656764578049043
"M2","MAWA",-0.0755614293717349,0.0194491486668615
"M3","MAWA",-0.0696148835670278,0.0205280781122772
"M1","NAWA",-0.0348186524628327,0.00207486588665773
"M2","NAWA",-0.0186202959875863,0.00111992356095671
"M3","NAWA",-0.00727349852392221,0.00112987021175495
"M1","OVEN",-0.137690718848677,0.0570955409958066
"M2","OVEN",-0.0496258611347856,0.0195800876058889
"M3","OVEN",-0.0400124870113143,0.0171462615581502
"M1","REVI",-0.13449872971988,0.0583938273009568
"M2","REVI",-0.0531176603328028,0.0227245766256668
"M3","REVI",-0.0426637098282833,0.0190347858473277
