"model","species","naive","psi_bar","ratio","obs_det_per_rec","pred_det_per_rec","pred_lo","pred_hi"
"M1","AMRE",0.0295071335927367,0.0347616814033954,1.17807720272606,1.1978021978022,1.65673576630482,1.64515547397294,1.66819038061304
"M1","BAWW",0.0856031128404669,0.100029017601228,1.16852079652344,1.10984848484848,1.67899751695141,1.66695586445651,1.69087672886252
"M1","BHVI",0.220168612191958,0.257959379117581,1.17164466155909,1.13843888070692,1.68424002750809,1.67213542032211,1.6961593830041
"M1","BLBW",0.639105058365759,0.741299342897419,1.15990216818652,1.69406392694064,1.68771497561901,1.67561900610388,1.69990370007652
"M1","BLPW",0.0963035019455253,0.113326260905117,1.17676157788344,1.57912457912458,1.67942499748497,1.66759989151777,1.6910908033787
"M1","BTBW",0.720817120622568,0.819382010131209,1.13674049448702,1.80926675663518,1.68804113462857,1.67594342194131,1.70023398952834
"M1","BTNW",0.73313878080415,0.837131788937138,1.14184627911638,1.71605484298983,1.68665192422615,1.67461993264674,1.69869960263185
"M1","CAWA",0.0690661478599222,0.0808167181658637,1.17013501795082,1.26291079812207,1.68817438476916,1.67614154930189,1.70012602136676
"M1","MAWA",0.182879377431907,0.214553305787962,1.17319573590439,1.46985815602837,1.69546886627806,1.68333940435443,1.70740421081196
"M1","NAWA",0.0233463035019455,0.0278627859760439,1.19345599930722,1.11111111111111,1.70539090140692,1.69314711741945,1.7176952424793
"M1","OVEN",0.632619974059663,0.731355356482984,1.15607376698797,1.75961045617632,1.68157459337636,1.66949123464915,1.69344900896661
"M1","REVI",0.608625162127108,0.703049488792641,1.1551436459438,1.74054342035163,1.68057802223399,1.66856876654672,1.69252865451909
"M2","AMRE",0.0295071335927367,0.0342264141927492,1.15993693813669,1.1978021978022,1.66569120513445,1.65529940358922,1.67708156000178
"M2","BAWW",0.0856031128404669,0.0995543380448088,1.16297567625072,1.10984848484848,1.68830108932684,1.67762826630866,1.70034907212402
"M2","BHVI",0.220168612191958,0.256861624301778,1.16665868828672,1.13843888070692,1.69356985808329,1.68285496263574,1.70550283667581
"M2","BLBW",0.639105058365759,0.735097328994484,1.15019795160781,1.69406392694064,1.6971889749934,1.68636226591231,1.70945485669104
"M2","BLPW",0.0963035019455253,0.109507247437833,1.13710555925346,1.57912457912458,1.68903213242449,1.67824492739099,1.70127715026357
"M2","BTBW",0.720817120622568,0.801856770054737,1.11242747586541,1.80926675663518,1.69752008352797,1.68668663007849,1.70978651163147
"M2","BTNW",0.73313878080415,0.832596856004842,1.13566063861961,1.71605484298983,1.69615413394038,1.68535114726395,1.7085481752835
"M2","CAWA",0.0690661478599222,0.0798870551504658,1.15667454499548,1.26291079812207,1.69777039739513,1.68689995125432,1.71032323184042
"M2","MAWA",0.182879377431907,0.211670046900059,1.1574298309216,1.46985815602837,1.7052803207895,1.69425750499169,1.7177156689787
"M2","NAWA",0.0233463035019455,0.0273851169852376,1.17299584420101,1.11111111111111,1.71542656661552,1.70422381206705,1.72805293951456
"M2","OVEN",0.632619974059663,0.71790456893474,1.13481173274974,1.75961045617632,1.6908862673219,1.68020374313048,1.70284960595162
"M2","REVI",0.608625162127108,0.691611182767213,1.13634996678427,1.74054342035163,1.68990491523585,1.67909756553209,1.70182329522766
"M3","AMRE",0.0295071335927367,0.0805189111744191,2.72879474793306,1.1978021978022,1.15215590435506,1.13811263583659,1.16866545776518
"M3","BAWW",0.0856031128404669,0.227453494228913,2.65707036440139,1.10984848484848,1.15729173156676,1.14281793260211,1.17433479939418
"M3","BHVI",0.220168612191958,0.582096561616317,2.64386715173008,1.13843888070692,1.15858573715234,1.14396790968229,1.17576873265459
"M3","BLBW",0.639105058365759,0.717829301586999,1.12317887676017,1.69406392694064,1.76945499897597,1.75660597320564,1.78043945835467
"M3","BLPW",0.0963035019455253,0.118360781187543,1.2290392228363,1.57912457912458,1.52291280599526,1.48022337571033,1.56341046237672
"M3","BTBW",0.720817120622568,0.789198739516291,1.09486680731815,1.80926675663518,1.76981556455818,1.75696294271591,1.78080945863762
"M3","BTNW",0.73313878080415,0.816222180448861,1.11332561013016,1.71605484298983,1.76829557874128,1.75549535893175,1.77922448127832
"M3","CAWA",0.0690661478599222,0.180752223949051,2.61708853830457,1.26291079812207,1.15947225210672,1.14485435980777,1.17674427844499
"M3","MAWA",0.182879377431907,0.231307428092439,1.26480870254802,1.46985815602837,1.53512541082323,1.49138309453894,1.5766254459914
"M3","NAWA",0.0233463035019455,0.0634197623840539,2.71647982211698,1.11111111111111,1.16324519873173,1.14830406962907,1.18085976230167
"M3","OVEN",0.632619974059663,0.703376732011705,1.11184717658847,1.75961045617632,1.76250173543948,1.7497087054748,1.77344153932674
"M3","REVI",0.608625162127108,0.674968520262803,1.10900528315956,1.74054342035163,1.76142508103143,1.74869017576902,1.77244652413326
"M3_G2","AMRE",0.0295071335927367,0.0802388758559954,2.71930432021857,1.1978021978022,1.15663044102056,1.14039906354776,1.17448903771598
"M3_G2","BAWW",0.0856031128404669,0.229418369168809,2.68002367619927,1.10984848484848,1.16193595995727,1.14526102625223,1.18036496480005
"M3_G2","BHVI",0.220168612191958,0.584535390094767,2.65494424602689,1.13843888070692,1.16325621914406,1.14639306942831,1.18187784304831
"M3_G2","BLBW",0.639105058365759,0.721747600490607,1.12930979193964,1.69406392694064,1.74983503985835,1.73734070066237,1.76240983660575
"M3_G2","BLPW",0.0963035019455253,0.107300889573857,1.11419509577702,1.57912457912458,1.74106129600336,1.72876136894763,1.75367862773215
"M3_G2","BTBW",0.720817120622568,0.791419610549239,1.09794785377141,1.80926675663518,1.75018658458014,1.73768563886462,1.76276782336341
"M3_G2","BTNW",0.73313878080415,0.818273732728748,1.11612392381046,1.71605484298983,1.74872996851533,1.73641470441967,1.7613552390174
"M3_G2","CAWA",0.0690661478599222,0.18156631041738,2.62887559308544,1.26291079812207,1.16419358223552,1.14738648679629,1.18263758025711
"M3_G2","MAWA",0.182879377431907,0.206303691331336,1.12808614196071,1.46985815602837,1.75853670182104,1.74585580217363,1.77155894423738
"M3_G2","NAWA",0.0233463035019455,0.063468967352842,2.71858743494673,1.11111111111111,1.1680887006516,1.15089821646801,1.18689610830473
"M3_G2","OVEN",0.632619974059663,0.705261586868546,1.11482661911973,1.75961045617632,1.74304335261733,1.73067643958995,1.75551843968091
"M3_G2","REVI",0.608625162127108,0.678567886600306,1.11491921271995,1.74054342035163,1.74197462527887,1.72966657917382,1.75442685870511
"M3_alt","AMRE",0.0295071335927367,0.0801193806534103,2.71525461467162,1.1978021978022,1.15711606994157,1.14325835571889,1.17533528369364
"M3_alt","BAWW",0.0856031128404669,0.228318214454789,2.66717186885821,1.10984848484848,1.16243586226185,1.14814889427336,1.18127674854226
"M3_alt","BHVI",0.220168612191958,0.584293513731873,2.65384564999867,1.13843888070692,1.16375991939814,1.14934661431041,1.18274203130256
"M3_alt","BLBW",0.639105058365759,0.722251008960599,1.13009746911948,1.69406392694064,1.75026095902552,1.73739696834705,1.76179073719487
"M3_alt","BLPW",0.0963035019455253,0.107469328092496,1.11594413413218,1.57912457912458,1.74152529349048,1.72868793495583,1.75284793699354
"M3_alt","BTBW",0.720817120622568,0.792104245665466,1.09889765795425,1.80926675663518,1.75061324503768,1.73774283823682,1.76213812326291
"M3_alt","BTNW",0.73313878080415,0.819274682289909,1.11748921724108,1.71605484298983,1.74915921582239,1.7362044935278,1.76073434276383
"M3_alt","CAWA",0.0690661478599222,0.181242276815082,2.62418395163246,1.26291079812207,1.16471115238826,1.15007481696793,1.18385671476566
"M3_alt","MAWA",0.182879377431907,0.206824981178893,1.13093659921224,1.46985815602837,1.75901639190946,1.74607161371117,1.77049573211851
"M3_alt","NAWA",0.0233463035019455,0.0637551746861321,2.73084664905599,1.11111111111111,1.16863355828038,1.15347250301222,1.18825606165326
"M3_alt","OVEN",0.632619974059663,0.706086374851217,1.11613038443934,1.75961045617632,1.74345219440579,1.73097111103102,1.75477184688248
"M3_alt","REVI",0.608625162127108,0.677991888451195,1.11397282044938,1.74054342035163,1.74239491181778,1.7299720358498,1.75358521489007
