"species","naive","p_mcmc","p_lo","p_hi","psi_bar_mcmc","ratio_mcmc","p_hat","se_p","ratio_M1","ratio_M3"
"NAWA",0.0233463035019455,0.172305311558916,0.11558569840301,0.239055709592696,0.0540283407984258,2.31421393086591,0.105642123638018,0.0341038209554261,1.19345599930722,2.71647982211698
"AMRE",0.0295071335927367,0.210744113735895,0.144587832449988,0.286673963286082,0.0614178533580944,2.08145779952047,0.190470992265801,0.0379390976020932,1.17807720272606,2.72879474793306
"CAWA",0.0690661478599222,0.232970198226672,0.183560071779512,0.287170110143979,0.132781342604155,1.92252422812776,0.234296729248313,0.0253677467855073,1.17013501795082,2.61708853830457
"BAWW",0.0856031128404669,0.112854140896269,0.0793826166421718,0.151291330574913,0.302682140794451,3.53587773564427,0.10846259393783,0.0183464643614181,1.16852079652344,2.65707036440139
"BLPW",0.0963035019455253,0.472404257717524,0.434138375664794,0.51192157539979,0.113215829389315,1.17561487487086,0.447376794771509,0.021987683770911,1.17676157788344,1.2290392228363
"MAWA",0.182879377431907,0.394734505567278,0.366893583732054,0.42453809776529,0.237577000109077,1.29909125591559,0.374065634844244,0.0161061789262397,1.17319573590439,1.26480870254802
"BHVI",0.220168612191958,0.175391275839825,0.156892762930741,0.19537366397597,0.503278161403332,2.28587606740482,0.133204211729033,0.0122417476174786,1.17164466155909,2.64386715173008
"REVI",0.608625162127108,0.551669298556788,0.53660743123526,0.56619158570908,0.674817380635011,1.10875695358464,0.535454715796313,0.00828347696858708,1.1551436459438,1.10900528315956
"OVEN",0.632619974059663,0.545389128179621,0.530413683703735,0.560894196498464,0.717628613178043,1.13437552180476,0.54493327572531,0.00806077050765012,1.15607376698797,1.11184717658847
"BLBW",0.639105058365759,0.509460029661374,0.493001112262612,0.525045247480055,0.741802506511552,1.16068946224334,0.50726156691129,0.00820732948323528,1.15990216818652,1.12317887676017
"BTBW",0.720817120622568,0.561205216652646,0.54686944170917,0.574983070410838,0.814133617824084,1.12945932405285,0.56599855138909,0.00738130569404546,1.13674049448702,1.09486680731815
"BTNW",0.73313878080415,0.505187518882705,0.486329297072564,0.526551117472982,0.871139985005303,1.18823339838848,0.51946030502492,0.00760473588704025,1.14184627911638,1.11332561013016
