"species","naive","p_mcmc","p_lo","p_hi","psi_bar_mcmc","ratio_mcmc","p_hat","se_p","ratio_M1","ratio_M3"
"NAWA",0.0233463035019455,0.14970347199505,0.0958094014390021,0.219463642303427,0.0628702136759845,2.69294081912134,0.105642123638018,0.0341038209554261,1.19345599930722,2.71647982211698
"AMRE",0.0295071335927367,0.198147149412861,0.130318305618529,0.274057313166991,0.0654144667804077,2.21690346759096,0.190470992265801,0.0379390976020932,1.17807720272606,2.72879474793306
"CAWA",0.0690661478599222,0.24205629403321,0.194211436922878,0.294272555372761,0.127599176019564,1.84749229504383,0.234296729248313,0.0253677467855073,1.17013501795082,2.61708853830457
"BAWW",0.0856031128404669,0.113334421070476,0.0824863470658404,0.152490329460451,0.30094817433528,3.51562185473486,0.10846259393783,0.0183464643614181,1.16852079652344,2.65707036440139
"BLPW",0.0963035019455253,0.473298123185155,0.434341018331148,0.51309618055196,0.11304471493049,1.17383804998529,0.447376794771509,0.021987683770911,1.17676157788344,1.2290392228363
"MAWA",0.182879377431907,0.386049226020909,0.356004795298074,0.416103628341191,0.243097423644214,1.329277401629,0.374065634844244,0.0161061789262397,1.17319573590439,1.26480870254802
"BHVI",0.220168612191958,0.165240796268755,0.14576111197967,0.18590265180346,0.534861476862925,2.42932664896209,0.133204211729033,0.0122417476174786,1.17164466155909,2.64386715173008
"REVI",0.608625162127108,0.543184759325278,0.528107097152921,0.558650690397619,0.685049946247988,1.12556954407501,0.535454715796313,0.00828347696858708,1.1551436459438,1.10900528315956
"OVEN",0.632619974059663,0.543986270441996,0.529125309608746,0.55918397504969,0.719062867397975,1.1366426873682,0.54493327572531,0.00806077050765012,1.15607376698797,1.11184717658847
"BLBW",0.639105058365759,0.50240338923531,0.485534577374608,0.518620879449723,0.752639406455196,1.17764582927845,0.50726156691129,0.00820732948323528,1.15990216818652,1.12317887676017
"BTBW",0.720817120622568,0.569477634509216,0.555672047263995,0.583179756031012,0.801375805659561,1.11176022701488,0.56599855138909,0.00738130569404546,1.13674049448702,1.09486680731815
"BTNW",0.73313878080415,0.518585197522359,0.504083718943062,0.532935621758288,0.848230311326758,1.15698464402111,0.51946030502492,0.00760473588704025,1.14184627911638,1.11332561013016
