"species","mean_naive_occ","prop_shrunk","prop_msom_closer","rmse_ssom","rmse_msom"
1,0.254735599324624,0.52,0.42,0.226078669777997,0.25760893272897
2,0.253195441680477,0.53,0.49,0.228814815880776,0.247791449211337
3,0.230660473152586,0.52,0.4,0.215751802668041,0.270461895374369
4,0.25003330414209,0.43,0.46,0.203590976525961,0.240320749173287
5,0.26070947836229,0.5,0.42,0.217188170557774,0.26242013634576
6,0.248672944976719,0.47,0.54,0.218994596586617,0.238809051443024
7,0.247805546209237,0.49,0.47,0.197765394886149,0.227276250256616
8,0.243082040638634,0.41,0.42,0.204543932139613,0.253973249427731
9,0.24949440022429,0.4,0.49,0.222150774355507,0.218534608703952
10,0.238216374738798,0.49,0.47,0.23405370180325,0.23696326769767
11,0.247790196483999,0.49,0.43,0.236779931903822,0.271785400182987
12,0.243861760725938,0.41,0.43,0.221411071656425,0.234499778229133
