"species","mean_naive_occ","prop_shrunk","prop_msom_closer","rmse_ssom","rmse_msom"
1,0.255606070116909,0.53,0.62,0.217778441185655,0.186053246751486
2,0.250671437176237,0.4,0.65,0.230285751956432,0.191710184055158
3,0.235288492137774,0.42,0.7,0.242042730073601,0.180006787000855
4,0.250825592528937,0.51,0.55,0.194007566257794,0.170757481501654
5,0.256779806942978,0.5,0.55,0.224920108865162,0.200360917612944
6,0.247593547432896,0.42,0.63,0.206542927662339,0.173440053877657
7,0.246515047095478,0.46,0.53,0.191676778119024,0.166519568375352
8,0.24612105482421,0.51,0.6,0.20756581758481,0.171037592330205
9,0.245401122551689,0.52,0.73,0.229808591090302,0.188861580921823
10,0.237627804550357,0.57,0.56,0.219414225635823,0.185182002329029
11,0.249163994293988,0.47,0.63,0.242331125872919,0.18623326087664
12,0.242110587205014,0.42,0.63,0.229072993417409,0.179391477054276
