"prior","model","pr_range_q","pr_range_p","pr_sigma_q","pr_sigma_p","det_int","det_int_sd","det_day","det_tod","alpha2","alpha2_sd","beta0","elev","elev2","range","sigma","rho","waic","seconds"
"baseline","M1",5,0.7,1,0.5,0.232619267275114,0.0299444278029853,3.75082509327556e-05,-0.0262628015525631,NA,NA,1.68957961387011,-0.539236825795404,-0.980452895687096,3.26598046291974,3.08900476863571,0.919511193882056,9936.59326791028,159.1
"baseline","M2",5,0.7,1,0.5,0.0183967801702736,0.0411827823837067,0.00126000251908924,-0.0148196493015577,0.417141091622056,0.0558785648793591,1.70226786566989,-0.536318212780693,-0.964834745125556,3.25795711758749,2.98565687879406,0.917037750425737,9886.10073435221,172.9
"range_short","M1",1,0.7,1,0.5,0.232639974656658,0.0299533609332517,2.06096891371077e-05,-0.0262470614185031,NA,NA,1.69124932343682,-0.550335885508377,-0.976996105625785,3.2120866914112,3.04848264585106,0.918346007627711,9937.00353195382,115.2
"range_short","M2",1,0.7,1,0.5,0.0179787217170103,0.0411850871062832,0.00108877332313906,-0.0148125276957477,0.416868120642451,0.0558944275096806,1.70139089642627,-0.535955121425036,-0.965149015509925,3.22279596488457,2.96594508430618,0.91474774064992,9885.94202664732,169.5
"range_long","M1",10,0.7,1,0.5,0.232423035855856,0.0299478940282993,0.000105478194830656,-0.0261993687419748,NA,NA,1.68735398517773,-0.525351818154769,-0.983623150538814,3.34071022227146,3.12779612001871,0.920864492916965,9936.55387870619,151.5
"range_long","M2",10,0.7,1,0.5,0.0189871237323439,0.0411748801025441,0.00115596797692458,-0.0148857469967128,0.417196229001232,0.055879507329773,1.69647330170192,-0.50560277625557,-0.974307873987651,3.35628461061122,3.06035840597255,0.916951972113998,9884.9787341552,154.6
"range_vague","M1",5,0.3,1,0.5,0.232283756777249,0.0299390347373149,0.000126446341154031,-0.0262042261893683,NA,NA,1.67871419727525,-0.495561319833769,-0.990840278318882,3.44484735663506,3.18444712558634,0.922327875686064,9935.89367436545,125.9
"range_vague","M2",5,0.3,1,0.5,0.0183747197238204,0.041168291224956,0.00118252887508087,-0.0147430854826606,0.4169203982231,0.0558504746317149,1.70137080475361,-0.511790368848787,-0.972897156620954,3.41491213401109,3.102424052471,0.920619792627102,9885.46231069797,167.6
"sigma_tight","M1",5,0.7,1,0.1,0.232346020832675,0.0299619008303356,4.24384574634372e-05,-0.0261826218319724,NA,NA,1.70799874544696,-0.619292342504855,-0.952538107805756,2.96743241898207,2.70763132683249,0.902490574287158,9941.92600373965,216.5
"sigma_tight","M2",5,0.7,1,0.1,0.0175889006945104,0.0411738309207845,0.00133287925851157,-0.0144255267893825,0.417910151053082,0.0558503987591635,1.7255148702467,-0.621323420629205,-0.937824562298395,2.95572625728811,2.63531997551938,0.899552762850574,9891.18638765971,144.1
"sigma_loose","M1",5,0.7,3,0.5,0.232587754611529,0.0299413310949225,7.9077474052665e-05,-0.0261963475101877,NA,NA,1.67912847858951,-0.506493751440847,-0.990442400644734,3.3965500904155,3.24426600487859,0.925433704731181,9934.90173563048,107.4
"sigma_loose","M2",5,0.7,3,0.5,0.0185759514303497,0.0411893736989599,0.00125972785010893,-0.0148331230492739,0.416799872746488,0.0558926872396973,1.69305247373798,-0.500644909159129,-0.976625008226568,3.40917401826944,3.16763513607855,0.922378586190185,9884.19751024844,186.6
