"species","range.1km","range.2km","baseline","range.10km","range.20km","sigma.0.5","sigma.2"
"AMRE",-3.06355972349566,-3.06537121933465,-3.05539555015019,-3.05881745818288,-3.0522221402201,-3.06267719167047,-3.05235918660667
"BAWW",-1.92573344727493,-1.9268514388147,-1.91660164734246,-1.92021681199561,-1.9111296580179,-1.92513901350212,-1.91299535567953
"BHVI",-0.760495692152876,-0.761298412661784,-0.751103489153092,-0.754741683611062,-0.74483039314074,-0.760300075624784,-0.746817403359294
"BLBW",1.42845672127288,1.42812407996457,1.43784208521522,1.43438436887365,1.44557168051708,1.42767474217779,1.44377733130285
"BLPW",-1.78471673188119,-1.78576451767395,-1.77549837425533,-1.77913154714215,-1.76987667736966,-1.78414311653113,-1.77179927154508
"BTBW",1.90017560128242,1.90018007743239,1.90985923262674,1.90629125693351,1.91782270278911,1.8995379928888,1.91605598342023
"BTNW",2.03011774938739,2.03037918921929,2.04010052840202,2.03645420660312,2.04822318576411,2.02956637307689,2.04647942830681
"CAWA",-2.16334048426343,-2.16461505749791,-2.15439317364489,-2.15795280922007,-2.14919041185946,-2.16273007737843,-2.15096416790678
"MAWA",-1.00638876302206,-1.00726003943774,-0.997046997625491,-1.00067150744319,-0.990926063153275,-1.00605663453103,-0.992995709973049
"NAWA",-3.30215905268708,-3.3042515228493,-3.29442955686071,-3.29776091558089,-3.29228971590508,-3.30117757412991,-3.29157245483592
"OVEN",1.37670024292388,1.37714653328473,1.38687781874269,1.3830119835713,1.39450783237061,1.3763641001659,1.39359229985029
"REVI",1.23314898119637,1.23358840591294,1.24342399195257,1.23951769334572,1.25090784696126,1.23304433007691,1.24995769185438
