"species","observed","psi_bar_msom","psi_bar_ssom","psi_mean_msom","psi_mean_ssom","prec_msom","prec_ssom","ratio_msom","ratio_ssom","prec_ratio_msom","prec_ratio_ssom"
"NAWA",0.0233463035019455,0.0278231731844435,0.063540911989193,0.0357451342648492,0.0170396883498898,0.0238140365250767,0.0240265987557659,1.19175925140033,2.7216690635371,1.02003456449079,1.02913931337197
"AMRE",0.0295071335927367,0.0350789707089222,0.0611835816403335,0.0449242647921888,0.0581471000919701,0.0300234865436165,0.0321898187100718,1.18883017215732,2.07351830526141,1.0174992582474,1.09091649342705
"CAWA",0.0690661478599222,0.0809490609470087,0.120328450398793,0.103626901694346,0.0954772505669651,0.0692713570328041,0.0735320208623694,1.17205119230317,1.74222038042196,1.00297119760173,1.06466080910586
"BAWW",0.0856031128404669,0.100194897099819,0.256363859258539,0.127859787152832,0.422508793313019,0.0857350788748585,0.084459282413238,1.17045857066606,2.99479599224748,1.00154160321994,0.986637980918281
"BLPW",0.0963035019455253,0.113433792406032,0.112588032634634,0.14442325564157,0.00547523264402912,0.0970587345676617,0.0947822389436934,1.17787816761011,1.16909593483236,1.00784221349047,0.984203450849665
"MAWA",0.182879377431907,0.214854359064574,0.227329170638103,0.268753722869446,0.0481109683123198,0.183772562325915,0.17683276079282,1.17484192084246,1.24305525221261,1.00488401101617,0.966936585611803
"BHVI",0.220168612191958,0.257516868020971,0.442681348010669,0.319705781471965,0.448553476565804,0.220230868076467,0.199828889048706,1.16963478788907,2.01064694737099,1.00028276457706,0.907617516680721
"REVI",0.608625162127108,0.703826984442204,0.650676736839517,0.775328603626466,0.844124588163053,0.601027319092577,0.578794586623702,1.15642110816183,1.06909273117372,0.987516383634261,0.950986949998667
"OVEN",0.632619974059663,0.731121763647905,0.675148726221684,0.799318736038903,0.925410880609296,0.62428125647912,0.603728317337453,1.15570452029223,1.06722638219768,0.98681875703824,0.954330154110048
"BLBW",0.639105058365759,0.741199623390131,0.705684717606469,0.80739876533458,0.844692479080848,0.63286643939005,0.612993280156231,1.15974613827253,1.10417639223661,0.990238507904066,0.959143214612793
"BTBW",0.720817120622568,0.818807380896698,0.768244912186068,0.870452214816671,0.955662312984279,0.698961500918311,0.696042922149963,1.13594330305237,1.06579726009079,0.969679383190316,0.965630396720866
"BTNW",0.73313878080415,0.837048133094892,0.805427285253042,0.884430292993448,0.865189344660187,0.714492165792547,0.70685689975347,1.14173217269555,1.09860139218062,0.974566050112435,0.964151560742902
