"species","observed","psi_bar_msom","psi_bar_ssom","psi_mean_msom","psi_mean_ssom","prec_msom","prec_ssom","viol_mean","viol_bar","viol_prec"
"NAWA",0.0233463035019455,0.027837109490067,0.0631735888242183,0.0357451342648492,0.0170396883498898,0.0244419784903379,0.0244219873933369,TRUE,FALSE,FALSE
"AMRE",0.0295071335927367,0.0350105744544909,0.0616329858041009,0.0449242647921888,0.0581471000919701,0.0307360267618333,0.0340306470244424,FALSE,FALSE,FALSE
"CAWA",0.0690661478599222,0.0809245950654108,0.120107155689775,0.103626901694346,0.0954772505669651,0.0710552340429821,0.0758268125714201,FALSE,FALSE,FALSE
"BAWW",0.0856031128404669,0.100155705595836,0.255394652777174,0.127859787152832,0.422508793313019,0.0879172204824999,0.0882790010198738,FALSE,FALSE,FALSE
"BLPW",0.0963035019455253,0.113160519479459,0.112324755716413,0.14442325564157,0.00547523264402912,0.099335436863895,0.0969062370710124,TRUE,FALSE,FALSE
"MAWA",0.182879377431907,0.214961713153405,0.227369340260208,0.268753722869446,0.0481109683123198,0.188752051195099,0.18128451817026,TRUE,FALSE,TRUE
"BHVI",0.220168612191958,0.257958499569712,0.442362395987662,0.319705781471965,0.448553476565804,0.226436517704287,0.208063982276775,FALSE,FALSE,TRUE
"REVI",0.608625162127108,0.7034758269553,0.650686921744532,0.775328603626466,0.844124588163053,0.617581339967525,0.594504934937616,FALSE,FALSE,TRUE
"OVEN",0.632619974059663,0.732022891218676,0.674858047346348,0.799318736038903,0.925410880609296,0.642775088857753,0.619377281683186,FALSE,FALSE,TRUE
"BLBW",0.639105058365759,0.741170288689136,0.706081398326034,0.80739876533458,0.844692479080848,0.65069084693776,0.62983362685238,FALSE,FALSE,TRUE
"BTBW",0.720817120622568,0.819105737872273,0.767867920705993,0.870452214816671,0.955662312984279,0.719217394093542,0.712194746154549,FALSE,FALSE,TRUE
"BTNW",0.73313878080415,0.836941607607807,0.80492591913181,0.884430292993448,0.865189344660187,0.734815379013893,0.724639778103713,FALSE,FALSE,TRUE
