"species","p_fit_indep","implied_ratio_fitp","naive","p_hat","se_p","implied_ratio","ratio_indep","z_p"
"NAWA",0.152044147145338,2.67831727650204,0.0233463035019455,0.105642123638018,0.0341038209554261,3.69003089026766,2.74,1.36061069426699
"AMRE",0.233380998398478,1.89396402628809,0.0295071335927367,0.190470992265801,0.0379390976020932,2.22842004350052,2.03,1.13102337284663
"CAWA",0.283793649133444,1.64357419295528,0.0690661478599222,0.234296729248313,0.0253677467855073,1.89451555264075,1.74,1.9511752582381
"BAWW",0.131165609427002,3.04497153338296,0.0856031128404669,0.10846259393783,0.0183464643614181,3.6041388671558,2.98,1.23745998367487
"BLPW",0.486419236832003,1.18992979951994,0.0963035019455253,0.447376794771509,0.021987683770911,1.24184524671913,1.17,1.77565051722939
"MAWA",0.415886937633912,1.29059135171335,0.182879377431907,0.374065634844244,0.0161061789262397,1.37326072810548,1.24,2.59659991244319
"BHVI",0.191845590565071,2.21543865021041,0.220168612191958,0.133204211729033,0.0122417476174786,3.00787151954331,2.01,4.7902783710645
"REVI",0.558050404301627,1.12248579938489,0.608625162127108,0.535454715796313,0.00828347696858708,1.14139732026205,1.07,2.7278024181153
"OVEN",0.564693795133679,1.1173372492148,0.632619974059663,0.54493327572531,0.00806077050765012,1.13317957553571,1.07,2.45144299662363
"BLBW",0.523830392220199,1.15190454806964,0.639105058365759,0.50726156691129,0.00820732948323528,1.16847612289812,1.1,2.01878398360317
"BTBW",0.582143437673357,1.10491808300956,0.720817120622568,0.56599855138909,0.00738130569404546,1.11635186364955,1.07,2.18726698953699
"BTNW",0.536337822890425,1.14076430594495,0.73313878080415,0.51946030502492,0.00760473588704025,1.15625227481384,1.1,2.21934306676801
