"species","n_st","n_rec","naive","det_freq","ratio_dn","p_hat","se_p","at_bound","implied_ratio","obs_det_per_rec","ll","pred_det_per_rec_pooled","implied_ratio_pooled","ratio_hier","ratio_indep"
"NAWA",3084,72,0.0233463035019455,0.00912200684150513,0.390725959711136,0.105642123638018,0.0341038209554261,FALSE,3.69003089026766,1.11111111111111,-102.847790635863,1.68665203641884,1.18327893672257,1.22,2.74
"AMRE",3084,91,0.0295071335927367,0.0124287343215507,0.421211171952335,0.190470992265801,0.0379390976020932,FALSE,2.22842004350052,1.1978021978022,-136.85079450064,1.63838164395302,1.18327893672257,1.17,2.03
"CAWA",3084,213,0.0690661478599222,0.030672748004561,0.444106830263221,0.234296729248313,0.0253677467855073,FALSE,1.89451555264075,1.26291079812207,-350.847447583487,1.66888216825393,1.18327893672257,1.17,1.74
"BAWW",3084,264,0.0856031128404669,0.0334093500570125,0.390281952938737,0.10846259393783,0.0183464643614181,FALSE,3.6041388671558,1.10984848484848,-365.2914755108,1.65943159142893,1.18327893672257,1.16,2.98
"BLPW",3084,297,0.0963035019455253,0.0534777651083238,0.555304470013706,0.447376794771509,0.021987683770911,FALSE,1.24184524671913,1.57912457912458,-545.562892411237,1.66097186296633,1.18327893672257,1.18,1.17
"MAWA",3084,564,0.182879377431907,0.0945267958950969,0.516880564788083,0.374065634844244,0.0161061789262397,FALSE,1.37326072810548,1.46985815602837,-1032.91859185903,1.67696774423237,1.18327893672257,1.17,1.24
"BHVI",3084,679,0.220168612191958,0.0881413911060433,0.400335861813016,0.133204211729033,0.0122417476174786,FALSE,3.00787151954331,1.13843888070692,-988.399139229557,1.66474987521876,1.18327893672257,1.17,2.01
"REVI",3084,1877,0.608625162127108,0.372519954389966,0.612067948502213,0.535454715796313,0.00828347696858708,FALSE,1.14139732026205,1.74054342035163,-3457.88707936206,1.66163154573793,1.18327893672257,1.16,1.07
"OVEN",3084,1951,0.632619974059663,0.391448118586089,0.618772935786519,0.54493327572531,0.00806077050765012,FALSE,1.13317957553571,1.75961045617632,-3591.48642531435,1.66218865458025,1.18327893672257,1.15,1.07
"BLBW",3084,1971,0.639105058365759,0.38072976054732,0.595723278299308,0.50726156691129,0.00820732948323528,FALSE,1.16847612289812,1.69406392694064,-3672.43288063409,1.66837677785945,1.18327893672257,1.16,1.1
"BTBW",3084,2223,0.720817120622568,0.45860889395667,0.636234740873762,0.56599855138909,0.00738130569404546,FALSE,1.11635186364955,1.80926675663518,-4108.66872070519,1.66871431080503,1.18327893672257,1.14,1.07
"BTNW",3084,2261,0.73313878080415,0.442417331812999,0.60345645789973,0.51946030502492,0.00760473588704025,FALSE,1.15625227481384,1.71605484298983,-4204.42547256864,1.66730125398203,1.18327893672257,1.14,1.1
