"species","n_rec3","p_hat3","obs1","obs2","obs3","exp1","exp2","exp3","D","p_boot"
"NAWA",70,0.106333005231274,62,8,0,62.2939744080394,7.41205118392125,0.293974408039366,0.936763277426377,0.75312343828086
"AMRE",80,0.18690182997473,66,11,3,64.1294775075489,14.7410449849023,1.12947750754887,1.25478335977451,0.0314842578710645
"CAWA",197,0.233279165203804,152,36,9,147.553070466155,44.8938590676906,4.55307046615469,1.1901636393362,0.0109945027486257
"BAWW",243,0.103575995623106,218,23,2,216.965518818239,25.0689623635228,0.96551881823859,1.08424903289595,0.137431284357821
"BLPW",270,0.439339828220179,147,84,39,135.794805791117,106.410388417766,27.7948057911172,1.19055833086298,0.000999500249875062
"MAWA",533,0.367848861342979,324,164,45,314.497053876925,183.005892246151,35.4970538769246,1.09524340786292,0.0119940029985007
"BHVI",620,0.133971539361547,535,79,6,533.25376448606,82.4924710278802,4.25376448605989,1.04221991283572,0.15792103948026
"REVI",1715,0.538899053544398,732,607,376,653.575690595587,763.8486188089,297.575690595513,1.17948297027804,0.000499750124937531
"OVEN",1784,0.5468440040321,719,687,378,662.665601011698,799.668797976679,321.665601011622,1.1232087694601,0.000499750124937531
"BLBW",1831,0.506977566987897,829,671,331,769.077021949823,790.845956100433,271.077021949744,1.13308823142938,0.000499750124937531
"BTBW",2060,0.565937320063629,788,795,477,717.655252122476,935.689495755127,406.655252122397,1.13113653458513,0.000499750124937531
"BTNW",2094,0.522650663076703,892,814,388,839.445042774712,919.109914450669,335.44504277462,1.10028964864818,0.000499750124937531
