"species","mean","sd","naive_occ"
"NAWA",0.0333299433692189,0.00855875680210645,0.0233463035019455
"AMRE",0.0413460642471766,0.0102449702759196,0.0295071335927367
"CAWA",0.0956475971594194,0.0209856176335597,0.0690661478599222
"BAWW",0.11778859556897,0.0248991666854257,0.0856031128404669
"BLPW",0.133238728134563,0.0275079718424423,0.0963035019455253
"MAWA",0.247686908535618,0.0434214745054406,0.182879377431907
"BHVI",0.293993135365842,0.0481734472154117,0.220168612191958
"REVI",0.741908372554375,0.0450658374040743,0.608625162127108
"OVEN",0.767992657069347,0.0421619622216234,0.632619974059663
"BLBW",0.776828428226176,0.0410970736445432,0.639105058365759
"BTBW",0.846176792732922,0.0313341965357456,0.720817120622568
"BTNW",0.862096183511106,0.0288264657200975,0.73313878080415
