"section","claim","stated","actual","status"
"Table 3, run (a)","beta0 bias",-0.087,-0.086802,"ok"
"Table 3, run (a)","beta0 MC SE",0.011,0.01138,"ok"
"Table 3, run (a)","beta0 RMSE",0.143,0.142673,"ok"
"Table 3, run (a)","beta0 coverage",0.87,0.87,"ok"
"Table 3, run (a)","beta0 CRPS",0.0821,0.082129,"ok"
"Table 3, run (a)","beta1 bias",-0.076,-0.076201,"ok"
"Table 3, run (a)","beta1 MC SE",0.005,0.005194,"ok"
"Table 3, run (a)","beta1 RMSE",0.092,0.092074,"ok"
"Table 3, run (a)","beta1 coverage",0.68,0.68,"ok"
"Table 3, run (a)","beta1 CRPS",0.0587,0.058664,"ok"
"Table 4, run (a)","RMSE hierarchical",0.247,0.247232,"ok"
"Table 4, run (a)","RMSE independent",0.219,0.219234,"ok"
"Table 4, run (a)","closer to truth",0.453,0.453333,"ok"
"Table 3, run (b)","beta0 bias",-0.084,-0.084045,"ok"
"Table 3, run (b)","beta0 MC SE",0.011,0.011488,"ok"
"Table 3, run (b)","beta0 RMSE",0.142,0.141877,"ok"
"Table 3, run (b)","beta0 coverage",0.85,0.85,"ok"
"Table 3, run (b)","beta0 CRPS",0.0813,0.081335,"ok"
"Table 3, run (b)","beta1 bias",-0.05,-0.049832,"ok"
"Table 3, run (b)","beta1 MC SE",0.005,0.005205,"ok"
"Table 3, run (b)","beta1 RMSE",0.072,0.071873,"ok"
"Table 3, run (b)","beta1 coverage",0.84,0.84,"ok"
"Table 3, run (b)","beta1 CRPS",0.0425,0.042517,"ok"
"Table 4, run (b)","RMSE hierarchical",0.241,0.240581,"ok"
"Table 4, run (b)","RMSE independent",0.205,0.205344,"ok"
"Table 4, run (b)","closer to truth",0.453,0.453333,"ok"
"Table 3, run (c)","beta0 bias",-0.062,-0.062141,"ok"
"Table 3, run (c)","beta0 MC SE",0.011,0.011015,"ok"
"Table 3, run (c)","beta0 RMSE",0.126,0.125986,"ok"
"Table 3, run (c)","beta0 coverage",0.9,0.9,"ok"
"Table 3, run (c)","beta0 CRPS",0.0717,0.071675,"ok"
"Table 3, run (c)","beta1 bias",-0.074,-0.073589,"ok"
"Table 3, run (c)","beta1 MC SE",0.005,0.005388,"ok"
"Table 3, run (c)","beta1 RMSE",0.091,0.091048,"ok"
"Table 3, run (c)","beta1 coverage",0.76,0.76,"ok"
"Table 3, run (c)","beta1 CRPS",0.0565,0.056549,"ok"
"Table 4, run (c)","RMSE hierarchical",0.182,0.18188,"ok"
