"scenario","model","parameter","n_rep","truth","mean_est","bias","mc_se","rmse","coverage","cov_se","mean_width","mean_crps"
"independent","M1","alpha0",200,-0.847297860387204,-0.746039175586064,0.101258684801139,0.0041858779369325,0.117218234477974,0.655,0.0336136133136561,0.256747781363325,0.0756363220382563
"independent","M1","alpha1",200,0.4,0.39609366758751,-0.0039063324124905,0.0054353837820558,0.0767749660221721,0.93,0.0180416185526687,0.285560397084532,0.0434116723649537
"independent","M1","beta0",200,-0.5,-0.483012970443661,0.0169870295563387,0.0101229938756363,0.143809197095929,0.9,0.0212132034355964,0.558981496371798,0.0819146489790932
"independent","M1","beta1",200,0.3,0.273922645360896,-0.026077354639104,0.0036173865578543,0.0573065444888596,0.945,0.0161206389451535,0.210565486676331,0.0330155127183714
"independent","M2","alpha0",200,-0.847297860387204,-0.831765112899966,0.0155327474872371,0.00442796258259388,0.0643663725748136,0.94,0.0167928556237467,0.261591811643764,0.0363140046832891
"independent","M2","alpha1",200,0.4,0.400907307324219,0.000907307324219175,0.00544901786131189,0.0768732108182486,0.945,0.0161206389451535,0.287496027939041,0.0435554462369069
"independent","M2","alpha2",200,0.7,0.690411481349012,-0.00958851865098764,0.0100511882258008,0.142113300768313,0.94,0.0167928556237467,0.521882036068875,0.0797819802939533
"independent","M2","beta0",200,-0.5,-0.478427102438643,0.0215728975613567,0.0101061603012398,0.144187900463352,0.905,0.0207334271166153,0.555649535410623,0.0824521970130272
"independent","M2","beta1",200,0.3,0.274343025536825,-0.0256569744631751,0.00357730048115533,0.056611827442385,0.95,0.0154110350074224,0.210679826565598,0.0324892860211917
"observer","M1","alpha0",200,-0.847297860387204,-0.73453234143126,0.112765518955944,0.00443292997674781,0.12894411593002,0.595,0.0347113093962184,0.254759775628175,0.0850113598644218
"observer","M1","alpha1",200,0.4,0.347860157743016,-0.0521398422569839,0.00490255588330204,0.0866114249633046,0.9,0.0212132034355964,0.28372737718031,0.0495916465591444
"observer","M1","beta0",200,-0.5,-0.474748840288062,0.025251159711938,0.0109380595315713,0.156352835547428,0.88,0.0229782505861521,0.558573727263905,0.0900702275715008
"observer","M1","beta1",200,0.3,0.27586340711877,-0.0241365928812303,0.00343912724433717,0.0541873302558813,0.925,0.0186245805321892,0.2096000689929,0.0308960269426952
"observer","M2","alpha0",200,-0.847297860387204,-0.787251148226944,0.0600467121602597,0.00459813813403096,0.0883914001862364,0.855,0.0248972890090467,0.260704956642311,0.0515155461680922
"observer","M2","alpha1",200,0.4,0.349372638334208,-0.0506273616657921,0.00491849904731568,0.0858910047213882,0.9,0.0212132034355964,0.284442740611784,0.0491177348367604
"observer","M2","beta0",200,-0.5,-0.474416042252569,0.0255839577474308,0.0109468796601086,0.156529676350236,0.89,0.0221246468898376,0.553621360127939,0.09002264993189
"observer","M2","beta1",200,0.3,0.275437594378029,-0.0245624056219708,0.00340960548714843,0.0540071131977887,0.925,0.0186245805321892,0.209389859423716,0.0308391161357236
"shared","M1","alpha0",200,-0.847297860387204,-0.730225058037551,0.117072802349653,0.00454201925964563,0.13345935299575,0.55,0.0351781181986757,0.255537201511609,0.0896369960271707
"shared","M1","alpha1",200,0.4,0.39536278298174,-0.00463721701826003,0.00495114575687954,0.0699982771112392,0.945,0.0161206389451535,0.286095483809383,0.039328606704444
"shared","M1","beta0",200,-0.5,-0.500344664493097,-0.000344664493097002,0.0112300431462609,0.15841962863838,0.9,0.0212132034355964,0.583325425912643,0.0904257122181195
"shared","M1","beta1",200,0.3,0.276247759472339,-0.0237522405276614,0.00346253406866801,0.0543139781570502,0.94,0.0167928556237467,0.210803203256904,0.0313739788780782
"shared","M2","alpha0",200,-0.847297860387204,-0.828883887622161,0.0184139727650424,0.00479304109444837,0.0700767417669572,0.93,0.0180416185526687,0.261875600903826,0.0399715347801117
"shared","M2","alpha1",200,0.4,0.400408430537421,0.000408430537420956,0.00497509993381497,0.070183609670931,0.95,0.0154110350074224,0.287462824523128,0.0395885202973953
"shared","M2","alpha2",200,0.7,0.713716038022141,0.0137160380221415,0.00885440981456354,0.125657645046803,0.945,0.0161206389451535,0.512517706598271,0.0709956476699669
"shared","M2","beta0",200,-0.5,-0.488655022963516,0.0113449770364843,0.0113500741061646,0.160513927012046,0.87,0.0237802439011882,0.566256489089797,0.0919795291733207
"shared","M2","beta1",200,0.3,0.278199722743761,-0.0218002772562388,0.00345641405757471,0.0534103446702181,0.945,0.0161206389451535,0.210593944153208,0.0307232210319862
