"parameter","mean_gaussian","d_gaussian","mean_simplified.laplace","d_simplified.laplace","mean_laplace","d_laplace","sd_ref"
"Int_occ",-0.496906887786262,0.000767402466299561,-0.497963396783068,-0.0102546849387816,-0.496980446231229,0,0.0958538031842862
"elev_s",-0.051950626136401,-0.000507852089454039,-0.0517093599194692,0.003152996087586,-0.0519171564194234,0,0.065904458547326
"elev_s2",-0.248426837551886,-0.00258865683948059,-0.247229794108777,0.0310070961187584,-0.248334601646353,0,0.0356307966842551
"beta[0] for occupancy observations",0.0158637244863292,-0.000872034123078627,0.0157861659807374,-0.00715705695748761,0.0158744855710847,0,0.0123402106301336
"beta[1] for occupancy observations",0.0126111347702343,0.000460345105621286,0.0126411551846436,0.00345409494782692,0.0126065185692922,0,0.0100276963646161
"beta[2] for occupancy observations",-0.0323041667323115,0.00174587853663346,-0.0324314730315613,-0.0106363980193452,-0.0323221166896101,0,0.0102813322472867
"Precision for species_id",0.405512606425538,0.00535735866169002,0.435872695665137,0.249249570892179,0.404845713925896,0,0.124481585377183
"Range for spatialfield",3.25794129528093,-0.00241260444153657,3.29180924840609,0.0595102745487364,3.25926083945375,0,0.54693763722578
"Stdev for spatialfield",0.560718050132821,0.002624864726891,0.56608492306096,0.0741138446358435,0.56052099437037,0,0.0750727305799338
"GroupRho for spatialfield",0.776105316261246,0.00214278426588358,0.779998765314338,0.0633877481977844,0.775969095732481,0,0.0635717421177997
"psi_int_AMRE",-3.05855386126512,0.000534087243503846,-3.05719270900663,0.0142567273583501,-3.05860683751835,0,0.0991902612834558
"psi_int_BAWW",-1.91992719136334,0.000664996418597702,-1.92063517255568,-0.0067210557652985,-1.91999093379917,0,0.0958538031842862
"psi_int_BHVI",-0.754317236844244,0.000815175204379648,-0.755671709210307,-0.0133154312094251,-0.754395374487845,0,0.0958538031842862
"psi_int_BLBW",1.43514710221823,0.000852848991340286,1.43297511713687,-0.0218065031595962,1.43506535339886,0,0.0958538031842862
"psi_int_BLPW",-1.77882597834652,0.000676816799840878,-1.77965010807357,-0.00792096127121143,-1.77889085381085,0,0.0958538031842862
"psi_int_BTBW",1.90713338218645,0.000865038349142413,1.90468848915616,-0.0246414407791471,1.90705046497078,0,0.0958538031842862
"psi_int_BTNW",2.03734101755676,0.000899973516931288,2.03478849627386,-0.0257293431935942,2.0372547516724,0,0.0958538031842862
"psi_int_CAWA",-2.15770194271764,0.000631109113293468,-2.15815576305943,-0.00410339621371337,-2.15776243692637,0,0.0958538031842862
"psi_int_MAWA",-1.00030556090825,0.00075810086261833,-1.00153915935959,-0.0121114818806159,-1.00037822775913,0,0.0958538031842862
"psi_int_NAWA",-3.2974884698653,0.000451608470234348,-3.29519588667182,0.021245695607874,-3.29753826046116,0,0.110251687333445
"psi_int_OVEN",1.38407909122079,0.00100001961282183,1.38173874147004,-0.0234158060822292,1.38398323553764,0,0.0958538031842862
"psi_int_REVI",1.24053710062291,0.000972628946667127,1.23828897611693,-0.0224810518806981,1.24044387043928,0,0.0958538031842862
